"","NO.","url","Coding.combination"
"1",NA,"http://www.indianexpress.com/news/the-green-cow/509595/0",NA
"2",2,"http://www.indianexpress.com/news/china-and-india-will-pay/509587/0","S, A6, D1, T1"
"3",3,"http://www.financialexpress.com/news/climate-trouble-may-be-bubbling-up-in-far-north/509575/","S, A1, T7"
"4",4,"http://www.livemint.com/2009/08/31211415/Tech-support-for-the-climate.html","GP, A6, T2"
"5",5,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=19&pagesize=&edid=&edlabel=CAP&mydateHid=02-09-2009&pubname=&edname=&publabel=TOI","S, A6, D1, T6"
"6",6,"http://www.business-standard.com/india/storypage.php?autono=368754","IP, A5, ID2+ID8, IT4"
"7",7,"http://www.thehindu.com/todays-paper/tp-opinion/Itrsquos-time-to-alter-course/article16506696.ece","S, A6, T7"
"8",8,"http://www.financialexpress.com/news/combating-climate-threat-to-the-himalayas/510410/0","GP, A6, D2+D5+ID2+D4, T1"
"9",9,"http://www.financialexpress.com/news/maintain-cdm-beyond-kyoto-protocol-ramesh/510430/","GP, IA2, ID2, IT2"
"10",10,"http://timesofindia.indiatimes.com/news/environment/global-warming/UN-backs-Indias-stand-on-emissions/articleshow/4965930.cms","GP, IA2, ID5, IT2"
"11",11,"http://economictimes.indiatimes.com/Rich-nations-use-48-of-global-carbon-budget/articleshow/4966419.cms","GP, IA2, ID5, IT2"
"12",12,"http://timesofindia.indiatimes.com/opinion/edit-page/Times-View-Consider-geo-engineering/articleshow/4964837.cms","S, IA5, IT6"
"13",13,"http://timesofindia.indiatimes.com/opinion/edit-page/Times-View-Consider-geo-engineering/articleshow/articleshow/4964827.cms","S, IA5, IT9"
"14",14,"http://timesofindia.indiatimes.com/news/science/Methane-bubbles-up-N-Pole-warming/articleshow/4965732.cms","S, A1, T7"
"15",15,"http://www.livemint.com/2009/09/03000559/Green-growth-of-8-by-2030-pos.html?h=B","GP, IA2, ID2, IT2"
"16",16,"http://www.livemint.com/2009/09/02215141/Food-security-under-threat-fro.html?h=B","S, A6, T7"
"17",17,"http://www.livemint.com/2009/09/02213730/Developed-nations-overdrawn-on.html?h=B","GP, IA2, ID5, IT2"
"18",18,"http://www.thehindubusinessline.com/2009/09/03/stories/2009090352050100.htm","IP, IA2, ID2, IT4"
"19",19,"http://www.thehindubusinessline.com/2009/09/03/stories/2009090351591500.htm","GP, IA2, ID2, IT6"
"20",20,"http://www.thehindubusinessline.com/2009/09/03/stories/2009090351561500.htm","GP, IA5, IT2"
"21",21,"http://www.indianexpress.com/news/studies-allay-concerns-on-indias-future-emission-levels/511799/","GP, IA2, IT2"
"22",22,"http://www.indianexpress.com/news/a-climate-change-pat-from-uk-ministers-to-spread-the-word/511798/","GP, IA2, D2, IT4"
"23",23,"http://www.hindustantimes.com/UN-emission-data-inflated/H1-Article1-449721.aspx","GP, IA2, ID2+D4, IT8"
"24",24,"http://www.thehindu.com/todays-paper/tp-national/Special-NDC-meeting-on-climate-change-planned/article16507635.ece","IP, IA2, ID2, IT2"
"25",25,"http://www.thehindu.com/todays-paper/tp-national/Climate-change-United-Nations-prescribes-different-solutions/article16507412.ece","GP, IA2, D4, IT2"
"26",26,"http://economictimes.indiatimes.com/News/News-By-Industry/Auto/Automobiles/Energy-efficiency-tags-for-vehicles-by-11/articleshow/4966093.cms","IP, IA2, ID2, IT6"
"27",27,NA,"IP, IA2, ID2, IT6"
"28",28,"http://lite.epaper.timesofindia.com/mobile.aspx?article=yes&pageid=10&edlabel=ETD&mydateHid=03-09-2009&pubname=&edname=&articleid=Ar01003&format=&publabel=ET","GP, IA2, ID2, IT4"
"29",29,"http://economictimes.indiatimes.com/Opinion/Beyond-the-carbon-crusade/articleshow/4966154.cms","GP, A6, T2"
"30",30,"http://www.financialexpress.com/news/indian-greenhouse-gas-emissions-to-stay-low/511612/","GP, IA2, IT4"
"31",31,"http://www.financialexpress.com/news/Shooting-mirrors-combating-CO2/511552/","S, A6, D3+D1, T6"
"32",32,"http://www.business-standard.com/india/news/support-for-indiaclimate-change/368956/","GP, IA2, ID2, IT4"
"33",33,"http://timesofindia.indiatimes.com/news/environment/global-warming/Himalayas-hotspot-of-climate-change/articleshow/4969827.cms","GP, IA2, ID2+D4+D8+ID5, IT1"
"34",34,"http://timesofindia.indiatimes.com/news/world/us/No-impact-man-leaves-no-carbon-footprint/articleshow/4969553.cms","BZ, A1, D8, T2"
"35",35,"http://www.thehindubusinessline.com/2009/09/04/stories/2009090450690800.htm","GP, IA4, ID2+D2, IT1"
"36",36,"http://www.financialexpress.com/news/trade-climate-change-pacts-should-be-in-sync/512581/","GP, IA2, D2+D4, IT8"
"37",37,"http://www.indianexpress.com/news/fighting-2-celsius/512677/0","GP, IA5, IT2 "
"38",38,"http://timesofindia.indiatimes.com/G-20-demands-emission-cuts-from-India/articleshow/4969943.cms","GP, IA2, ID2, IT3"
"39",39,"http://timesofindia.indiatimes.com/news/environment/global-warming/Warming-in-Arctic-reverses-8000-year-old-cooling-trend-/articleshow/4972059.cms","S, A1, D1, T1"
"40",40,"http://www.thehindubusinessline.com/2009/09/06/stories/2009090650930500.htm","BZ, IA2, IT1"
"41",41,"http://www.indianexpress.com/news/meltdown-time/513152/","S, A2, D4 IT7"
"42",42,"http://www.hindu.com/2009/09/05/stories/2009090556970400.htm","IP, IA2, ID2+ID6, IT4"
"43",43,"http://www.hindu.com/2009/09/05/stories/2009090555180900.htm","S, A6, D1 T1"
"44",44,"http://www.thehindubusinessline.com/2009/09/05/stories/2009090551231500.htm","GP, IA2, ID2, IT8"
"45",45,"http://www.financialexpress.com/news/fe-editorial-climate-of-opinion/513625/0","GP, IA5, IT8"
"46",46,"http://www.financialexpress.com/news/engineering-is-better-than-tax-on-climate-economists/513643/","S, A1, D5, T6"
"47",47,"http://www.financialexpress.com/news/global-cdm-market-is-all-set-to-double-in-2010-says-new-study/513642/0","BZ, IA2, ID6, IT4"
"48",48,"http://www.financialexpress.com/news/developing-new-technologies-offers-india-great-scope-to-earn-and-trade-carbon-credits/513644/0","BZ, IA5, IT4"
"49",49,"http://www.hindu.com/2009/09/07/stories/2009090756681800.htm","IP, IA1, ID2, IT2"
"50",50,"http://www.thehindubusinessline.com/2009/09/07/stories/2009090750230800.htm","GP, IA5, IT3"
